"id_dataset","full_text","text_bersih","hasil_sentistrength","label_sentistrength","class"
"80","""Halo Peserta Kartu Prakerja Gelombang 67 Akan Ditutup pada Hari Senin TanggalÂ 6 Mei 2024 pukul 23:59 WIB ã…¤ã…¤ ã…¤ã…¤ã…¤ã…¤ ã…¤ã…¤ Bagi Sobat Prakerja yang sudah memiliki akun Prakerja dan sudah melakukan update data diri segera klik tombol Gabung yang ada di dashboard ya! https://t.co/FK063pNS9R""",,,,
"81","""ASN Resmi Diizinkan Ikut Pelatihan Kartu Prakerja Dalam Program Indonesia Skills Week Sebuah langkah baru terbuka bagi Aparatur Sipil Negara (ASN) dengan diizinkannya mereka mengikuti program pelatihan di bawah naungan Kartu Prakerja. Hal ini terjadi melalui pelaksanaan https://t.co/6fWAM88iai""",,,,
"82","""Program Kartu Prakerja Gelombang 67 Masih Dibuka Cek Syarat Daftar: Bisa dapat Saldo Dana GRATIS https://t.co/9CMPygDsWL #Prakerja #KartuPrakerja #Gelombang67 #pikiranrakyatkuningan""",,,,
"83","""@kompascom malah ngeluh keq gini.. djaman jkw ada kartu prakerja nanti prabowo ngasi makan siang gratis.. udah ga usah markir2 gtu deh""",,,,
"84","""Update! Kini ASN Bisa Ikut Pelatihan Program Kartu Prakerja Begini Cara Daftarnya https://t.co/FvCjTNdmx8""",,,,
"85","""Kartu Prakerja Gelombang 67 Sudah Dibuka Ini Keuntungan untuk Peserta Lolos #News #NewsUpdate #BisnisIT #Olahraga #Lifestyle #SudutPandang #Daerah #Parlemen https://t.co/lvyZeSbvJ3""",,,,
"86","""Cara Daftar Kartu Prakerja Gelombang 67 Ternyata Mudah Bisa Gunakan HP #News #NewsUpdate #BisnisIT #Olahraga #Lifestyle #SudutPandang #Daerah #Parlemen https://t.co/7OTZz9UMiu""",,,,
"87","""&lt	strong&gt	Gelombang 66 Kartu Prakerja Telah Ditutup! Siapkan Diri untuk Memilih Pelatihan Tepat&lt	/strong&gt	 https://t.co/O65oMGXfx8""",,,,
"88","""@fairishx akuuu kupu2 pas kuliah tapi pas kuliah ikut program KMMI cuma itu aja yg w masukin terus gtu lulus dapet kartu prakerja juga jadi w nyari yg dari luar kampus semua""",,,,
"89","""Sudah Dibuka Berikut Cara Daftar Kartu Prakerja Gelombang 67 https://t.co/n5cIR2dwbN""",,,,
"90","""Awal lolos dan keterima kartu prakerja aku senang tapi ketika masalah redeem muncul sampai sekarang tiba2 dinihilkan saldonya aku panik""",,,,
"91","""Resmi Dibuka Cara Daftar Kartu Prakerja Gelombang 67 dan Apa Itu Kartu Prakerja? #KartuPraKerja #CaraDaftar https://t.co/YIcZ8XvK9t lewat @tribunnews""",,,,
"92","""Dapatkan Rp4 2 Juta dengan Kartu Prakerja Gelombang 67! Begini Cara Daftar dan Syarat Pendaftaran https://t.co/o0AHQXms0O""",,,,
"93","""Kartu Prakerja 2024 Gelombang 67: Berapa Kali Cair Jadwal dan Cara Daftar yang Anti Ribet! https://t.co/Q2TL5y0e4r""",,,,
"94","""Kartu Prakerja 2024: Cek NIK KTP dan Dapatkan Beasiswa Pelatihan Rp3 5 Juta! https://t.co/0JwOirvcGw""",,,,
"95","""Kartu Prakerja Gelombang 67: Panduan Lengkap Cara Daftar dengan Langkah Anti Gagal! https://t.co/BgubZmJZFW""",,,,
"96","""Kartu Prakerja Gelombang 67 Telah Dibuka! Dapatkan Rp4 2 Juta dan Tingkatkan Keterampilanmu! https://t.co/pmW7qR2Ctp""",,,,
"97","""Gelombang 67 Kartu Prakerja Dibuka Sejak Kemarin Buruan Daftar Pendaftaran Ditutup 2 Hari Lagi! https://t.co/xFWnGRjVjb""",,,,
"98","""LOLOS Kartu Prakerja Gelombang 66 Kamu Berhak Klaim Saldo DANA Gratis Rp700.000 dari Pemerintah Cek Disini! https://t.co/udBNuHR1JJ""",,,,
"99","""Dibuka Mei 2024 Ini Cara Mendaftar Kartu Prakerja Gelombang 67! https://t.co/YQLEXTvmqd""",,,,
"100","""Simak Cara Mendaftar Kartu Prakerja Gelombang 67 yang Baru Saja Dibuku Ini Syaratnya https://t.co/C57FlpKh2N""",,,,
"101","""Kartu Prakerja Gelombang 67 akan ditutup pada Senin 6 Mei 2024 pukul 23.59 WIB. https://t.co/CrM250zQcU""",,,,
"102","""Kartu Prakerja Gelombang 67 Bernilai Rp4 2 Juta: Peluang Peningkatan Skill dan Pengembangan Karir https://t.co/CTjuHli8bK""",,,,
"103","""Menko Airlangga Soal Program Kartu Prakerja Raih Penghargaan UNESCO: Simbol Komitmen dan Kerja Keras https://t.co/NTR6R2VzjK""",,,,
"104","""Setidaknya ada banyak manfaat yang bisa kamu peroleh jika mengikuti program KartuÂ Prakerja mulai dari ilmu skill dana pelatihan hingga dana untuk mencari kerja dengan total Rp 4 2 juta https://t.co/7b4zI6i5e7 via @tribunnews""",,,,
"105","""Kartu Prakerja 2024: Gagal Login? Jangan Panik! Ini Solusinya! https://t.co/fbW7RBHRHn""",,,,
"106","""Kartu Prakerja Gelombang 67 Dibuka Cek Syarat hingga Cara Daftarnya: Dapatkan Intensif Saldo Dana RP700 Ribu https://t.co/OPsKK4FM8U #KartuPrakerja #Gelombang67 #SaldoDANA #pikiranrakyatkuningan""",,,,
"107","""Hello mentemen! Yang mau ikut program kartu prakerja buat nambah uang saku dan dilatih softskill gratis aku punya grup diskusinya! Minat? Langsung join ya! #zonauang #kartuprakerja https://t.co/oDwVAWWFIG""",,,,
